################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -2.0895195416350317E-02 a       341     0    14     1    16
  1.9705006469650838E-01 a       342     0    14     1    17
 -1.2106871252388851E-01 a       343     0    14     1    18
 -4.6079269712202636E-02 a       344     0    14     1    19
  1.9998504975337625E-01 a       345     0    14     1    20
 -1.3210296905357172E-01 a       346     0    14     1    21
  9.0671181000790291E-03 a       347     0    14     1    22
  1.0291301453864729E-01 a       348     0    14     1    23
 -5.2491022926811411E-02 a       349     0    14     1    24
  3.3666227869228592E-02 a       350     0    14     1    25
  7.2355706601463302E-02 a       351     0    15     1     1
  2.4411035773698087E-01 a       352     0    15     1     2
 -2.3979456660194284E-01 a       353     0    15     1     3
 -1.1520872563175462E-01 a       354     0    15     1     4
 -1.3705642973355681E-02 a       355     0    15     1     5
  1.1000518733166247E-01 a       356     0    15     1     6
 -2.4672085763436166E-01 a       357     0    15     1     7
 -1.9696185073684608E-01 a       358     0    15     1     8
 -9.1324430557031544E-03 a       359     0    15     1     9
 -3.9502455956002443E-02 a       360     0    15     1    10
 -9.7391024838982210E-02 a       361     0    15     1    11
  1.8148836916888689E-01 a       362     0    15     1    12
  1.3462879970572228E-01 a       363     0    15     1    13
 -3.4121099895679047E-02 a       364     0    15     1    14
  7.7566582456023075E-02 a       365     0    15     1    15
  2.7679258894914061E-01 a       366     0    15     1    16
 -2.0216659740576107E-01 a       367     0    15     1    17
 -2.8672110671536355E-01 a       368     0    15     1    18
 -2.0216285610430074E-01 a       369     0    15     1    19
  2.3547635037355030E-01 a       370     0    15     1    20
 -2.4357301818083948E-01 a       371     0    15     1    21
  9.1513124699554263E-02 a       372     0    15     1    22
 -1.7209268072305892E-01 a       373     0    15     1    23
 -1.4117240128650022E-01 a       374     0    15     1    24
 -1.9745842322259316E-01 a       375     0    15     1    25
  1.8233255994894813E-02 a       376     0    16     1     1
 -2.2403196134592521E-02 a       377     0    16     1     2
 -6.2652618215939024E-02 a       378     0    16     1     3
 -1.0994010177184889E-01 a       379     0    16     1     4
  5.5686917817070004E-02 a       380     0    16     1     5
  1.3637955826176140E-01 a       381     0    16     1     6
  1.6426215632747798E-01 a       382     0    16     1     7
  8.5227564458564588E-03 a       383     0    16     1     8
  1.1990829030068018E-01 a       384     0    16     1     9
 -2.4960005222182342E-02 a       385     0    16     1    10
 -9.9656936139887034E-02 a       386     0    16     1    11
 -1.3321400747888079E-01 a       387     0    16     1    12
  7.7658418164445367E-02 a       388     0    16     1    13
 -8.4881369599800180E-02 a       389     0    16     1    14
  1.1317266284875047E-01 a       390     0    16     1    15
 -6.0801742381828033E-02 a       391     0    16     1    16
  8.1568427673774247E-03 a       392     0    16     1    17
  4.2660152673959235E-02 a       393     0    16     1    18
 -2.0206575685739553E-02 a       394     0    16     1    19
  4.9218377111413053E-02 a       395     0    16     1    20
  4.9131950860591259E-02 a       396     0    16     1    21
 -1.3094853343639740E-01 a       397     0    16     1    22
  7.1716384750229345E-02 a       398     0    16     1    23
  6.7286744919013194E-02 a       399     0    16     1    24
  1.8501535729805924E-02 a       400     0    16     1    25
  1.0548165365851569E-01 a       401     0    17     1     1
 -7.4226942268494555E-03 a       402     0    17     1     2
  1.7950465917245126E-01 a       403     0    17     1     3
 -2.2336252375883006E-01 a       404     0    17     1     4
 -1.0371864850931246E-01 a       405     0    17     1     5
  5.8085875135658396E-02 a       406     0    17     1     6
  1.0981067691273007E-01 a       407     0    17     1     7
